Description,Amount,Date
Deposit Apple #2930,1019.3,2024-03-27
Payment Starbucks #6276,99.78,2024-01-23
Payment Uber #3261,989.32,2024-01-14
Payment Amazon #6053,819.88,2024-02-23
Payment Uber #2940,1999.83,2024-02-20
Invoice Apple #9778,1923.69,2024-01-05
Deposit Netflix #1990,1795.12,2024-02-02
Refund Amazon #9711,1364.32,2024-01-03
Deposit Costco #4229,1325.04,2024-02-27
Withdrawal Apple #1904,280.17,2024-02-02
Invoice Apple #9391,1316.2,2024-01-04
Invoice Amazon #5330,798.75,2024-02-25
Withdrawal Uber #7397,958.01,2024-01-06
Payment Shell #1444,1722.42,2024-02-29
ACH Transfer Starbucks #8755,1671.53,2024-03-06
Payment Amazon #2623,976.65,2024-02-02
Deposit Google #8544,165.06,2024-01-18
Transfer Netflix #2299,824.3,2024-03-09
ACH Transfer Netflix #5077,368.74,2024-03-26
Refund Starbucks #9713,481.11,2024-02-10
Transfer Apple #4919,1983.54,2024-03-18
Invoice Walmart #2140,619.88,2024-02-10
ACH Transfer Costco #1056,1934.4,2024-02-24
Transfer Costco #6131,533.69,2024-01-25
Transfer Uber #9087,271.64,2024-03-03
Withdrawal Uber #5388,958.92,2024-02-18
Refund Amazon #5512,19.23,2024-02-28
Invoice Netflix #2076,27.02,2024-03-12
Invoice Netflix #3411,1677.1,2024-02-26
Payment Google #5313,1932.56,2024-03-09
Refund Costco #5657,1588.54,2024-01-16
Withdrawal BestBuy #3421,470.28,2024-03-09
ACH Transfer Google #4019,635.24,2024-03-23
Deposit BestBuy #2414,321.53,2024-03-15
ACH Transfer Costco #2114,697.29,2024-03-07
ACH Transfer Google #2964,1531.49,2024-01-08
Refund Starbucks #9076,609.17,2024-02-02
Payment BestBuy #2070,485.84,2024-01-21
Transfer Google #6611,1966.47,2024-03-10
Transfer Walmart #5200,87.15,2024-01-20
Invoice Starbucks #7202,1432.27,2024-03-08
Transfer Costco #3066,131.9,2024-01-31
Withdrawal Apple #8334,579.42,2024-02-03
Payment Costco #3980,1918.07,2024-02-22
ACH Transfer Uber #8191,730.67,2024-01-04
Payment Netflix #3758,1156.15,2024-02-14
Deposit Shell #4775,734.29,2024-02-13
Deposit Shell #8800,1769.29,2024-02-22
Refund Walmart #3399,1703.95,2024-03-19
Invoice Costco #4743,1783.37,2024-01-16
Withdrawal BestBuy #7279,1576.29,2024-03-09
Deposit Walmart #3966,1478.41,2024-02-17
Deposit Apple #4037,1381.24,2024-01-27
Payment Shell #7928,1071.97,2024-03-02
Refund Starbucks #9052,1606.86,2024-03-26
Payment Amazon #5653,647.39,2024-02-16
Transfer Shell #1141,321.73,2024-03-01
ACH Transfer BestBuy #7207,413.5,2024-02-09
Transfer Amazon #2079,1506.39,2024-02-03
Invoice Shell #7478,1934.59,2024-02-25
Refund Shell #5725,1156.37,2024-03-25
Withdrawal Apple #3084,1030.24,2024-01-07
Deposit Walmart #3493,1155.24,2024-03-28
Withdrawal Netflix #3299,160.05,2024-03-21
Payment BestBuy #4919,313.93,2024-02-26
Invoice BestBuy #2741,1544.63,2024-03-01
Invoice Walmart #2836,105.53,2024-01-08
Payment Apple #5577,1161.78,2024-02-22
Invoice Google #6710,1380.63,2024-02-17
Payment Costco #8601,380.82,2024-03-01
Invoice Walmart #1615,1543.53,2024-03-30
Transfer BestBuy #7199,1462.78,2024-02-03
Deposit Uber #3356,1655.54,2024-02-26
Withdrawal Netflix #9276,629.36,2024-01-11
Invoice Apple #6201,434.44,2024-02-10
Invoice Starbucks #5395,957.7,2024-01-28
Invoice Walmart #1742,1678.79,2024-03-28
Payment Apple #2104,85.75,2024-03-21
Invoice Walmart #3529,624.82,2024-03-27
Deposit Apple #2821,1948.5,2024-03-30
ACH Transfer Starbucks #9621,1571.92,2024-01-20
Transfer Walmart #6257,1277.09,2024-03-15
Withdrawal Starbucks #3457,1834.24,2024-02-26
Deposit Walmart #4983,1199.56,2024-03-25
Refund BestBuy #9926,1943.84,2024-01-19
ACH Transfer Walmart #3769,1629.0,2024-02-15
Invoice Netflix #5581,1973.51,2024-03-29
Withdrawal Shell #5136,1823.87,2024-03-18
Payment Walmart #9552,34.06,2024-01-24
Payment Amazon #5192,1774.72,2024-02-25
ACH Transfer BestBuy #8119,1024.42,2024-02-16
Invoice Netflix #6295,1678.44,2024-03-20
Transfer BestBuy #5388,365.03,2024-03-27
Withdrawal Amazon #2872,1289.81,2024-01-20
Refund BestBuy #9587,276.17,2024-03-25
Payment Shell #5568,49.74,2024-01-13
Payment Walmart #1218,1603.57,2024-02-07
Withdrawal BestBuy #3960,1980.76,2024-02-18
Payment Costco #3191,1300.11,2024-02-17
Payment Uber #3847,1648.75,2024-03-23
Deposit Netflix #4047,1009.69,2024-03-23
Refund Costco #9542,521.17,2024-03-03
Invoice Apple #4718,1726.38,2024-02-27
Deposit Walmart #9369,1584.9,2024-02-10
Deposit Shell #4956,236.61,2024-01-18
Withdrawal Netflix #1424,1215.5,2024-03-06
Withdrawal Apple #4934,1555.74,2024-03-27
Refund Shell #1202,208.53,2024-03-12
Payment Costco #7183,472.91,2024-01-30
Transfer Amazon #1028,1512.03,2024-01-09
ACH Transfer Walmart #7131,689.72,2024-02-06
Invoice Starbucks #3429,844.89,2024-02-12
Deposit Uber #6579,1857.66,2024-01-19
Refund Google #3218,825.84,2024-03-31
Withdrawal Amazon #6364,1335.57,2024-02-23
Deposit Costco #8878,297.84,2024-03-11
Withdrawal Costco #2052,1818.16,2024-01-30
ACH Transfer Amazon #5594,1481.28,2024-02-25
Invoice Walmart #2422,802.15,2024-01-08
Refund Starbucks #5128,727.77,2024-03-29
Deposit Apple #8634,578.09,2024-03-07
Deposit BestBuy #4600,1434.04,2024-03-09
ACH Transfer Walmart #3606,1859.47,2024-01-25
Transfer Costco #1162,1343.46,2024-02-18
Refund Shell #4278,1748.57,2024-01-09
Invoice Apple #2675,613.15,2024-01-19
Refund Apple #3990,870.44,2024-03-28
Withdrawal Apple #2823,319.27,2024-01-16
Transfer Netflix #7402,123.86,2024-03-20
Payment Costco #1418,1875.05,2024-03-11
ACH Transfer Starbucks #7681,389.77,2024-02-17
Invoice Amazon #2552,1905.75,2024-03-08
ACH Transfer BestBuy #2019,1443.22,2024-03-12
Invoice Netflix #9029,1464.12,2024-01-12
Withdrawal Uber #5570,1246.12,2024-03-31
Refund Starbucks #5973,1805.24,2024-01-02
Withdrawal Amazon #4192,622.17,2024-03-21
Invoice Walmart #1929,1049.1,2024-02-19
ACH Transfer Apple #4745,1377.16,2024-03-14
Payment Apple #1041,1728.26,2024-03-30
Transfer Shell #2378,224.41,2024-02-02
Deposit BestBuy #8835,1166.43,2024-01-19
Deposit Netflix #9233,629.58,2024-02-03
Invoice Google #9397,1258.69,2024-02-19
Payment Shell #6405,1804.08,2024-02-10
ACH Transfer Apple #9695,879.43,2024-01-16
ACH Transfer Apple #1250,923.91,2024-03-28
Withdrawal Uber #3735,1221.3,2024-03-26
ACH Transfer Walmart #2471,1327.55,2024-01-28
Payment Uber #7974,1218.58,2024-01-02
Withdrawal Apple #7786,1799.33,2024-01-19
Withdrawal Google #1481,687.01,2024-01-03
Payment Shell #2465,1298.82,2024-03-11
Invoice Walmart #2469,853.72,2024-03-20
Invoice Apple #3973,1247.32,2024-02-29
Transfer Shell #8065,1282.52,2024-02-05
Transfer Apple #1802,1050.25,2024-03-28
Transfer Walmart #5029,809.06,2024-01-28
Deposit Amazon #5912,782.08,2024-03-02
ACH Transfer Apple #8029,676.78,2024-01-31
Withdrawal Shell #3762,293.74,2024-03-04
Payment Amazon #6985,652.57,2024-03-14
Withdrawal Uber #5511,1256.43,2024-02-14
Payment Costco #4899,321.39,2024-01-15
Transfer Shell #2580,207.09,2024-03-09
Invoice BestBuy #7172,155.08,2024-03-22
Payment Walmart #1230,1878.63,2024-03-09
Invoice Walmart #8544,1318.92,2024-01-03
Payment BestBuy #3873,571.85,2024-02-24
ACH Transfer Google #8266,1811.15,2024-02-12
Withdrawal Shell #2962,1028.31,2024-02-21
Transfer Apple #1958,974.68,2024-03-25
Invoice Starbucks #2333,1723.68,2024-03-29
Transfer Google #2091,643.46,2024-01-05
Refund Walmart #1732,932.32,2024-03-17
ACH Transfer Shell #9374,787.01,2024-03-24
ACH Transfer Apple #4013,1756.15,2024-01-26
Deposit Apple #5076,1833.6,2024-03-18
Transfer Amazon #1635,910.15,2024-03-21
Refund Netflix #2978,1104.0,2024-02-15
Payment Costco #2707,1198.13,2024-03-14
Payment Starbucks #8948,66.4,2024-03-07
Invoice Shell #2726,869.23,2024-03-06
Transfer Google #2176,922.33,2024-02-26
Payment Shell #4702,1459.93,2024-03-31
Deposit Google #4215,111.69,2024-01-31
Payment Uber #2312,1363.89,2024-02-12
ACH Transfer Netflix #7896,398.72,2024-01-20
ACH Transfer Google #7960,1325.6,2024-02-07
Payment Uber #6739,1572.85,2024-01-19
Payment BestBuy #4557,1763.47,2024-01-14
Payment Walmart #1019,1721.26,2024-03-18
Transfer Apple #4746,435.61,2024-01-12
Withdrawal Shell #4238,1702.06,2024-03-19
Invoice Apple #2170,1527.73,2024-02-08
ACH Transfer Google #3218,1974.29,2024-01-29
Deposit Netflix #9292,1111.9,2024-01-13
Withdrawal Shell #2042,348.38,2024-02-16
Withdrawal Shell #5135,464.67,2024-02-01
Payment Starbucks #7454,1823.62,2024-02-10
Payment Google #3975,1845.65,2024-01-31
Transfer Netflix #8030,1427.51,2024-01-03
Refund Uber #1285,196.21,2024-02-15
Deposit Starbucks #2314,419.0,2024-03-29
Payment Walmart #1488,1841.23,2024-03-25
Deposit Amazon #5752,663.15,2024-01-24
Deposit Walmart #6504,414.45,2024-01-11
Withdrawal Apple #3579,426.65,2024-01-16
ACH Transfer Apple #3169,309.75,2024-02-20
ACH Transfer Google #7547,871.88,2024-02-03
Invoice Costco #5483,832.53,2024-03-24
Transfer Starbucks #4368,1528.31,2024-02-03
Payment Walmart #4895,1787.71,2024-03-27
Payment Walmart #7689,1354.74,2024-02-02
Transfer Netflix #8455,139.17,2024-01-18
Withdrawal Uber #7659,34.09,2024-01-13
Refund Starbucks #8453,1203.32,2024-01-28
Withdrawal Walmart #3218,892.76,2024-01-31
ACH Transfer Netflix #4121,803.97,2024-01-27
Transfer Netflix #3115,297.04,2024-02-08
Withdrawal Amazon #7658,1144.73,2024-01-30
ACH Transfer Netflix #9253,51.74,2024-01-17
Refund Starbucks #4378,426.46,2024-02-09
Invoice Uber #2861,1811.43,2024-01-18
Transfer Costco #3158,642.77,2024-01-09
Transfer Walmart #5137,324.18,2024-01-31
Withdrawal Google #2880,1385.83,2024-01-02
Invoice Netflix #3973,251.45,2024-03-23
Transfer Uber #5825,126.91,2024-01-29
Transfer Costco #5529,259.33,2024-01-03
Payment Starbucks #7098,668.62,2024-01-08
ACH Transfer Google #4490,828.6,2024-03-29
Payment Starbucks #4767,143.47,2024-02-21
Refund Amazon #8018,912.1,2024-01-24
Transfer Starbucks #5961,134.15,2024-03-17
Transfer Costco #9390,1037.45,2024-02-10
Withdrawal Uber #4419,1280.61,2024-01-02
Payment Amazon #2425,123.89,2024-01-17
Invoice Uber #7092,1222.22,2024-02-11
Transfer Costco #4151,285.06,2024-02-07
ACH Transfer Google #3772,582.62,2024-03-17
Refund Shell #8979,298.42,2024-01-18
Withdrawal Shell #6055,1235.34,2024-02-04
Payment Netflix #6308,1641.5,2024-03-15
Withdrawal Uber #1359,190.48,2024-01-06
Refund Uber #3673,1474.51,2024-02-05
Deposit Google #3550,1203.25,2024-01-24
Deposit Costco #3257,1195.22,2024-03-17
Invoice Netflix #1933,1292.97,2024-02-02
Payment BestBuy #5772,1930.71,2024-03-10
Payment Starbucks #6566,1910.58,2024-01-09
Invoice Walmart #6969,789.98,2024-02-10
Transfer Amazon #6999,1467.44,2024-03-11
ACH Transfer Netflix #8456,1334.36,2024-01-24
Withdrawal BestBuy #7984,485.79,2024-01-03
ACH Transfer Netflix #9044,1535.05,2024-03-05
ACH Transfer Uber #4441,1524.17,2024-01-10
Transfer BestBuy #9925,808.58,2024-02-21
ACH Transfer BestBuy #2903,203.52,2024-03-06
ACH Transfer Costco #7493,1055.18,2024-03-15
ACH Transfer Google #2236,1186.08,2024-03-23
Invoice BestBuy #1035,884.77,2024-03-03
Payment Uber #9796,104.13,2024-03-20
Invoice Amazon #3389,1973.88,2024-03-21
Withdrawal Apple #1792,1949.94,2024-01-14
Deposit BestBuy #8234,777.54,2024-03-19
Deposit Apple #5411,1657.31,2024-01-21
Deposit Walmart #6970,771.7,2024-02-28
Invoice Costco #4356,547.05,2024-02-29
Withdrawal Amazon #2213,1418.11,2024-03-27
Refund Google #8819,1141.76,2024-03-07
ACH Transfer Walmart #3732,921.38,2024-01-27
Refund Walmart #8143,32.84,2024-03-20
Payment Netflix #2542,1426.5,2024-03-02
Withdrawal Uber #5355,1152.48,2024-02-16
Invoice BestBuy #4185,502.62,2024-01-06
Refund Amazon #6984,1023.47,2024-03-12
Invoice Netflix #7690,879.04,2024-02-02
Withdrawal Amazon #3860,291.74,2024-01-24
Deposit Walmart #3927,1259.39,2024-01-06
Withdrawal Apple #5671,1084.19,2024-03-10
Deposit Starbucks #4923,521.34,2024-03-12
Refund Amazon #8414,1571.57,2024-02-12
Refund Shell #5383,502.48,2024-02-22
ACH Transfer BestBuy #6062,694.97,2024-02-05
Deposit Amazon #1901,1196.26,2024-03-01
Deposit Netflix #4216,702.08,2024-03-20
Payment Costco #5689,24.48,2024-02-15
Transfer Apple #5147,775.21,2024-01-22
Transfer Walmart #4376,1339.78,2024-03-15
Deposit Costco #1378,842.76,2024-01-19
Deposit Walmart #1654,821.83,2024-03-07
Invoice Costco #1514,168.34,2024-01-03
Payment Amazon #8993,446.83,2024-02-02
Withdrawal Starbucks #2892,1121.4,2024-01-21
ACH Transfer Walmart #3888,1899.85,2024-02-22
Deposit Shell #2260,1123.53,2024-01-06
ACH Transfer Starbucks #9544,1365.15,2024-03-31
Transfer Amazon #1185,1607.97,2024-01-23
Withdrawal Google #8527,1509.72,2024-02-29
Withdrawal Shell #6021,944.01,2024-01-06
Deposit BestBuy #3644,839.75,2024-03-16
Transfer Starbucks #2750,1439.37,2024-01-21
Refund Uber #1756,208.95,2024-02-02
Transfer Apple #2942,1790.47,2024-01-21
Transfer Uber #3775,395.31,2024-03-14
Withdrawal Amazon #9650,192.98,2024-03-14
Payment Uber #9324,1181.93,2024-03-31
Transfer Uber #4521,865.05,2024-03-10
ACH Transfer Google #8372,1547.86,2024-03-27
Invoice Costco #2478,999.34,2024-03-08
Transfer Amazon #9572,216.41,2024-03-05
Refund Walmart #2275,1863.85,2024-02-15
Refund Uber #4548,1589.63,2024-03-03
Refund Apple #6669,935.79,2024-02-26
Payment Google #4989,158.69,2024-03-16
Deposit BestBuy #9241,1412.25,2024-01-23
Invoice Starbucks #2131,1131.93,2024-02-28
Transfer Walmart #3603,1295.94,2024-03-20
Transfer Uber #6020,863.4,2024-01-31
Payment Google #9743,90.91,2024-02-24
Payment Shell #1380,1688.36,2024-02-14
Deposit Apple #6643,38.61,2024-01-11
Payment Apple #9849,1150.18,2024-03-12
ACH Transfer Costco #8886,1118.28,2024-02-22
Deposit Costco #9500,601.67,2024-01-07
ACH Transfer Starbucks #6179,542.44,2024-03-26
Deposit Google #2029,1823.4,2024-02-23
Transfer Apple #2080,82.0,2024-01-28
Deposit Amazon #2922,1046.17,2024-03-28
Invoice Walmart #7665,1353.12,2024-03-14
Refund BestBuy #3949,1204.57,2024-02-12
Payment Starbucks #1005,1688.1,2024-02-22
Deposit Uber #1557,250.86,2024-02-13
Payment Starbucks #5578,1941.63,2024-01-01
Refund Apple #7805,1256.28,2024-02-26
Deposit Google #9249,1248.38,2024-01-15
Payment BestBuy #4427,1805.89,2024-03-24
Deposit Costco #2823,929.58,2024-02-21
Refund Walmart #4682,251.47,2024-03-12
Deposit BestBuy #2321,1846.66,2024-02-23
ACH Transfer Amazon #7716,270.72,2024-02-03
Payment BestBuy #7635,862.03,2024-03-19
ACH Transfer Costco #3015,634.87,2024-01-09
Deposit Apple #2189,1263.29,2024-01-27
Transfer Netflix #6799,474.35,2024-01-04
ACH Transfer Amazon #2329,1917.94,2024-01-17
Invoice BestBuy #4424,1572.88,2024-02-16
Transfer BestBuy #9236,1082.35,2024-01-03
Deposit Costco #4943,1293.22,2024-01-30
Transfer Apple #8867,1957.93,2024-02-16
Invoice Netflix #6522,1207.28,2024-02-16
Withdrawal Apple #1189,1924.88,2024-01-01
Deposit Costco #6370,1140.08,2024-03-23
ACH Transfer Amazon #2446,73.59,2024-03-25
Payment Shell #9759,1979.13,2024-03-18
Refund Apple #1702,640.39,2024-01-10
Invoice Amazon #3744,411.83,2024-01-05
Withdrawal Uber #4464,106.44,2024-03-01
Withdrawal Google #7201,1063.94,2024-02-11
Refund Amazon #5827,469.14,2024-01-10
Invoice Shell #2368,257.05,2024-01-17
Transfer Google #8311,678.54,2024-03-20
ACH Transfer Apple #4228,1938.27,2024-02-03
Payment Netflix #7261,1363.03,2024-03-13
Withdrawal Uber #7988,280.46,2024-03-12
Deposit Google #3474,126.91,2024-03-08
ACH Transfer Netflix #4523,30.34,2024-01-27
Withdrawal Amazon #1446,1722.48,2024-02-23
Refund Shell #7017,1881.23,2024-03-21
Withdrawal Walmart #6149,1216.5,2024-02-04
Transfer Google #2928,1619.25,2024-01-11
Deposit Netflix #7031,994.39,2024-03-17
ACH Transfer Netflix #5535,1678.64,2024-02-17
Deposit Apple #4294,1502.12,2024-02-11
Invoice Uber #4685,971.82,2024-01-24
Invoice Google #4158,294.49,2024-03-19
Withdrawal Apple #5574,1826.77,2024-03-28
Withdrawal Shell #8791,178.5,2024-03-20
ACH Transfer Walmart #1318,403.87,2024-03-01
Refund Google #5290,1654.98,2024-02-26
Invoice Amazon #1269,347.5,2024-03-26
Withdrawal Apple #7567,1960.64,2024-03-08
Payment BestBuy #5843,841.9,2024-03-24
ACH Transfer Shell #4963,1009.6,2024-03-29
Invoice Google #6569,1184.53,2024-01-27
Withdrawal Uber #9613,1570.83,2024-03-26
Transfer Apple #3072,1473.22,2024-01-16
Transfer Amazon #6704,832.8,2024-02-14
Deposit Uber #8697,233.21,2024-02-20
Transfer Google #6321,596.51,2024-01-28
Refund Apple #4819,1211.79,2024-01-14
Transfer Apple #5459,225.54,2024-03-10
Refund Amazon #9711,179.94,2024-01-09
Withdrawal Apple #4086,559.78,2024-01-04
Payment Netflix #2085,1083.2,2024-02-05
Deposit Walmart #9554,1377.01,2024-01-09
Transfer Walmart #3307,1141.02,2024-02-10
Transfer Shell #5820,1279.67,2024-02-06
Withdrawal Amazon #4970,533.42,2024-01-28
Deposit Google #2780,1713.83,2024-02-10
Transfer Starbucks #5360,1595.4,2024-03-17
Invoice Costco #7372,1388.72,2024-03-07
Invoice Shell #6548,872.56,2024-03-30
